,coordinates,industries,traffic
0,"('33.6499632', '72.9637728')",4,2.982298951
1,"('33.6707965333', '72.9637728')",1,2.185019841
2,"('33.6916298667', '72.9637728')",2,2.184320581
3,"('33.7124632', '72.9637728')",0,2.74533707
4,"('33.7332965333', '72.9637728')",0,2.081073839
5,"('33.7541298667', '72.9637728')",0,1.83624031
6,"('33.7749632', '72.9637728')",0,3.637820513
7,"('33.7957965333', '72.9637728')",0,2.165540541
8,"('33.8166298667', '72.9637728')",0,2.868263197
9,"('33.8374632', '72.9637728')",0,5.998023715
10,"('33.8582965333', '72.9637728')",0,2.77839233
11,"('33.8791298667', '72.9637728')",0,1.705090618
12,"('33.8999632', '72.9637728')",0,3.088235294
13,"('33.9207965333', '72.9637728')",0,2.288398693
14,"('33.9416298667', '72.9637728')",0,1.700638792
15,"('33.9624632', '72.9637728')",0,2.027777778
16,"('33.9832965333', '72.9637728')",0,2.484068627
17,"('34.0041298667', '72.9637728')",0,2.222825213
18,"('34.0249632', '72.9637728')",0,2.008687259
19,"('34.0457965333', '72.9637728')",0,2.014456272
20,"('34.0666298667', '72.9637728')",0,1.221544715
21,"('34.0874632', '72.9637728')",0,1.961044319
22,"('34.1082965333', '72.9637728')",0,2.004524887
23,"('34.1291298667', '72.9637728')",0,2.061403509
24,"('34.1499632', '72.9637728')",0,2.321428571
25,"('33.6499632', '72.9637728')",4,2.982298951
26,"('33.6291298667', '72.9637728')",0,3.363022292
27,"('33.6082965333', '72.9637728')",1,2.586359519
28,"('33.5874632', '72.9637728')",0,3.10060919
29,"('33.5666298667', '72.9637728')",0,2.321524064
30,"('33.5457965333', '72.9637728')",0,1.88405668
31,"('33.5249632', '72.9637728')",0,1.829804254
32,"('33.5041298667', '72.9637728')",0,2.030047108
33,"('33.4832965333', '72.9637728')",0,2.773809524
34,"('33.4624632', '72.9637728')",0,1.357142857
35,"('33.4416298667', '72.9637728')",0,1.255050505
36,"('33.4207965333', '72.9637728')",0,1.469907407
37,"('33.3999632', '72.9637728')",0,0.957707771
38,"('33.3791298667', '72.9637728')",0,2.068181818
39,"('33.3582965333', '72.9637728')",0,2.184575063
40,"('33.3374632', '72.9637728')",0,2.375
41,"('33.3166298667', '72.9637728')",0,2.005952381
42,"('33.2957965333', '72.9637728')",0,0.909534535
43,"('33.2749632', '72.9637728')",0,0.511579818
44,"('33.2541298667', '72.9637728')",0,0.512629162
45,"('33.2332965333', '72.9637728')",0,2.621212121
46,"('33.2124632', '72.9637728')",0,2.282176388
47,"('33.1916298667', '72.9637728')",0,1.989962652
48,"('33.1707965333', '72.9637728')",0,1.735119048
49,"('33.1499632', '72.9637728')",0,2.4375
50,"('33.6499632', '72.9637728')",4,2.982298951
51,"('33.6499632', '72.9846061333')",0,2.093505584
52,"('33.6499632', '73.0054394667')",0,2.782018363
53,"('33.6499632', '73.0262728')",0,2.979436161
54,"('33.6499632', '73.0471061333')",6,2.52649086
55,"('33.6499632', '73.0679394667')",1,3.064296814
56,"('33.6499632', '73.0887728')",3,2.743551587
57,"('33.6499632', '73.1096061333')",0,3.079647436
58,"('33.6499632', '73.1304394667')",1,2.249685555
59,"('33.6499632', '73.1512728')",0,2.048030472
60,"('33.6499632', '73.1721061333')",1,1.719635799
61,"('33.6499632', '73.1929394667')",0,2.411492375
62,"('33.6499632', '73.2137728')",1,2.831555699
63,"('33.6499632', '73.2346061333')",1,2.766141231
64,"('33.6499632', '73.2554394667')",0,3.280279503
65,"('33.6499632', '73.2762728')",0,2.19775641
66,"('33.6499632', '73.2971061333')",0,3.113266284
67,"('33.6499632', '73.3179394667')",0,1.777452218
68,"('33.6499632', '73.3387728')",0,1.935486389
69,"('33.6499632', '73.3596061333')",0,2.081640388
70,"('33.6499632', '73.3804394667')",0,1.978365385
71,"('33.6499632', '73.4012728')",0,1.530662021
72,"('33.6499632', '73.4221061333')",0,2.806200515
73,"('33.6499632', '73.4429394667')",0,2.642857143
74,"('33.6499632', '73.4637728')",0,2.284056151
75,"('33.6499632', '72.9637728')",4,2.982298951
76,"('33.6499632', '72.9846061333')",0,2.093505584
77,"('33.6499632', '73.0054394667')",0,2.782018363
78,"('33.6499632', '73.0262728')",0,2.979436161
79,"('33.6499632', '73.0471061333')",6,2.52649086
80,"('33.6499632', '73.0679394667')",1,3.064296814
81,"('33.6499632', '73.0887728')",3,2.743551587
82,"('33.6499632', '73.1096061333')",0,3.079647436
83,"('33.6499632', '73.1304394667')",1,2.249685555
84,"('33.6499632', '73.1512728')",0,2.048030472
85,"('33.6499632', '73.1721061333')",1,1.719635799
86,"('33.6499632', '73.1929394667')",0,2.411492375
87,"('33.6499632', '73.2137728')",1,2.831555699
88,"('33.6499632', '73.2346061333')",1,2.766141231
89,"('33.6499632', '73.2554394667')",0,3.280279503
90,"('33.6499632', '73.2762728')",0,2.19775641
91,"('33.6499632', '73.2971061333')",0,3.113266284
92,"('33.6499632', '73.3179394667')",0,1.777452218
93,"('33.6499632', '73.3387728')",0,1.935486389
94,"('33.6499632', '73.3596061333')",0,2.081640388
95,"('33.6499632', '73.3804394667')",0,1.978365385
96,"('33.6499632', '73.4012728')",0,1.530662021
97,"('33.6499632', '73.4221061333')",0,2.806200515
98,"('33.6499632', '73.4429394667')",0,2.642857143
99,"('33.6499632', '73.4637728')",0,2.284056151
